word,part_of_speech,chinese_meaning,english_definition,example_sentence,synonyms,antonyms,memory_hint,difficulty_level,frequency_level,source_book_chapter
infelicitous,,不幸的、不適當的,not appropriate in application or expression,an infelicitous remark 不恰當的評論,,,,3,3,Mason 2000 PDF page 30 / 字根 felic 幸福 / 提示 felicitate 祝賀、慶祝
infelicity,,不幸、不適當,the state or quality of being unhappy or unfortunate,,,,,1,1,Mason 2000 PDF page 30 / 字根 felic 幸福 / 提示 felicitate 祝賀、慶祝
confer,v.,討論、商談；贈與,(with sb) (on/about sth) have discussions (esp in order to exchange opinions or get advice),conferred an honorary degree on her,,,con(共同) + fer(帶來) → 提出問題共同討論,1,1,Mason 2000 PDF page 30 / 字根 fer 帶來 / 提示 infer 推斷、推定
deference,n.,尊敬,"giving way to the views, wishes, etc of others, usu out of respect; respect","They were married in church out of deference to their parents' wishes. 他們遵從父母的願望，在教堂舉行了婚禮 // Deference to leaders and intolerance toward outsiders (and toward ""enemies within"") are hallmarks of tribalism 部落文化的特徵是尊 敬領導與對外人(和內部的敵人)不寬容",respect;veneration,effrontery(厚顏無恥;放肆),形近reverence尊敬,5,5,Mason 2000 PDF page 30 / 字根 fer 帶來 / 提示 infer 推斷、推定
peripheral,adj.,不重要的；外圍的、周邊的、邊緣的,of secondary or minor importance (to sth),"If we focus too much on peripheral issues, we will lose sight of the goal. 若我們太過關注邊緣議題，我們就會對目標失焦 peripheral devices such as modems and scanners 諸如數據機和掃描器的周邊設備",,,,5,5,Mason 2000 PDF page 30 / 字根 fer 帶來 / 提示 infer 推斷、推定
odoriferous,,有味道的、臭的,giving off an order,The odoriferous smell emanating from the garbage can was unbearable. 散發惡臭的垃圾桶讓人難以忍受。,,,odor(氣味) + i + fer(帶來) + ous → 有氣味的,2,2,Mason 2000 PDF page 30 / 字根 fer 帶來 / 提示 infer 推斷、推定
ferromagnetic,,磁鐵的、鐵磁體的,,,,,,5,2,Mason 2000 PDF page 30 / 字根 ferr 鐵 / 提示 ferromagnetic 磁鐵的、鐵磁體的
ferrous,,鐵的、含鐵的,,,,,,5,2,Mason 2000 PDF page 30 / 字根 ferr 鐵 / 提示 ferromagnetic 磁鐵的、鐵磁體的
ferment,v.,使發酵、醞釀,change chemically through the action of organic substances (esp yeast),,,,,5,2,"Mason 2000 PDF page 30 / 字根 ferv, ferm 熱 / 提示 fever 發燒"
fervent,adj.,炙熱的、熱情的,showing warmth and sincerity of feeling; enthusiastic; passionate,a fervent proponent 一個熱情的支持者,,,,4,4,"Mason 2000 PDF page 30 / 字根 ferv, ferm 熱 / 提示 fever 發燒"
confess,v.,承認、公認,"(to sth/doing sth); (sth) (to sb) say or admit, often formally (that one has done wrong, committed a crime, etc)",,,,a. confessional 懺悔的,3,3,Mason 2000 PDF page 30 / 字根 fess 說 / 提示 confess 承認、公認
profess,,公開宣佈、聲稱,,,,,,1,1,Mason 2000 PDF page 30 / 字根 fess 說 / 提示 confess 承認、公認
beneficiary,n.,受益人、受惠者,"person who receives sth, esp one who receives money, property, etc when sb dies",,,,,2,1,"Mason 2000 PDF page 31 / 字根 fec, fic, fict: to do 做 / 提示 deficient 有缺陷的、不足的"
feckless,adj.,無效的、無能的,"weak, ineffective; worthless, irresponsible",a well-intentioned but feckless response to the rise in school violence 對於校園暴力興起的一個動機良善卻無效的回應,,,,4,4,"Mason 2000 PDF page 31 / 字根 fec, fic, fict: to do 做 / 提示 deficient 有缺陷的、不足的"
fictitious,adj.,假的、虛構的,imagined or invented; not real,fictitious company 不存在的、虛構的公司,,,類似fiction → 小說是假的,2,2,"Mason 2000 PDF page 31 / 字根 fec, fic, fict: to do 做 / 提示 deficient 有缺陷的、不足的"
maleficent,adj.,有害的、犯罪的,causing or doing evil,,,,黑魔女 | male(壞) + foc(做) + ent,5,2,"Mason 2000 PDF page 31 / 字根 fec, fic, fict: to do 做 / 提示 deficient 有缺陷的、不足的"
munificent,adj.,慷慨地、豐厚的,extremely generous; (of sth given) large in amount or splendid in quality,munificent donors 慷慨的捐助者,bounteous;bountiful;charitable;fulsome;generous;liberal;unsparing,,,3,3,"Mason 2000 PDF page 31 / 字根 fec, fic, fict: to do 做 / 提示 deficient 有缺陷的、不足的"
ramification,n.,後果、影響,"part of a complex structure; secondary consequence, esp one that complicates",the environmental ramification from the use of coal,consequence,,在LOL rampage(橫衝直撞)有後果(ramification),2,2,"Mason 2000 PDF page 31 / 字根 fec, fic, fict: to do 做 / 提示 deficient 有缺陷的、不足的"
suffice,v.,足夠、（食物）滿足,(not in the continuous tenses ) (fml ) be enough (for sb/sth); be adequate,"I think, Mr. Fox, a simple phone call might have sufficed. - Lau, The Dark Knight",,,,1,1,"Mason 2000 PDF page 31 / 字根 fec, fic, fict: to do 做 / 提示 deficient 有缺陷的、不足的"
confidant,,心腹朋友、知己、密友,,,,,,1,1,Mason 2000 PDF page 31 / 字根 fid 相信 / 提示 confident 自信的、有信心的
confide,v.,透露、吐露,sth to sb tell (a secret) to sb,,,,,1,1,Mason 2000 PDF page 31 / 字根 fid 相信 / 提示 confident 自信的、有信心的
diffident,adj.,缺乏自信的、懦怯的、羞怯的,not having or showing much belief in one's own abilities; lacking self-confidence,He was diffident about speaking in front of a large crowd.,bashful;demure;introverted;modest;recessive;self-effacing,,,3,3,Mason 2000 PDF page 31 / 字根 fid 相信 / 提示 confident 自信的、有信心的
fidelity,n.,忠實、忠誠,loyalty; faithfulness,his fidelity to liberal ideals 對自由派理念的忠誠,loyalty;faithfulness allegiance;ardor;devotion;fealty,unconventionality (異常);apostasy (脫黨;變節),,4,4,Mason 2000 PDF page 31 / 字根 fid 相信 / 提示 confident 自信的、有信心的
perfidious,adj.,不誠實的、背信棄義的,"(fml ) treacherous, deceitful or disloyal",,,,per(遠離) + fid(相信) + ious,1,1,Mason 2000 PDF page 31 / 字根 fid 相信 / 提示 confident 自信的、有信心的
perfidy,n.,不忠、背叛,(fml ) acting in a treacherous or disloyal way,,,,per(完全) + fid(相信) + y → 對人完全相信會遭背叛,5,2,Mason 2000 PDF page 31 / 字根 fid 相信 / 提示 confident 自信的、有信心的
configuration,n.,結構、配置、輪廓,arrangement of the parts of sth; shape or outline,configuration of the mountains. We'll have to change the configuration of the system to accommodate the new server.,,,con(全部) + figur(形狀) → 全體的形狀 → 結構、佈局,4,4,"Mason 2000 PDF page 31 / 字根 figur, fig 形狀、形體 / 提示 figure 人像、數字"
figurative,adj.,比喻的、象徵,(of words) used in an imaginative or a metaphorical way rather than literally,"The phrase ""raining cats and dogs"" means literally ""cats and dogs falling from the sky,"" while its figurative meaning is ""heavy rain.""",,,,3,3,"Mason 2000 PDF page 31 / 字根 figur, fig 形狀、形體 / 提示 figure 人像、數字"
prefigure,v.,預示、預想,represent beforehand (sth that will happen in the future); foreshadow,The dark clouds and strong winds prefigured the coming storm. 那些烏雲和強風預示著即將到來的暴風雨。,,,,2,2,"Mason 2000 PDF page 32 / 字根 figur, fig 形狀、形體 / 提示 figure 人像、數字"
affiliated,,附屬的,,The Affiliated Senior High School of National Taiwan Normal University 師大附中,,,,1,1,Mason 2000 PDF page 32 / 字根 fili 兒子 / 提示 affiliated 附屬的
filial,adj.,子女的、孝順的,of or expected from a son or daughter,"In Confucian, filial piety (孝) is a virtue of respect for one's parents, elders, and ancestors.",,,,5,2,Mason 2000 PDF page 32 / 字根 fili 兒子 / 提示 affiliated 附屬的
filter,n.,濾器、過濾,"device containing paper, sand, cloth, etc used to hold back any solid material or impurities in a liquid or gas passed through it",,,,,2,1,Mason 2000 PDF page 32 / 字根 filtr 過濾 / 提示 filter 濾器、過濾
infiltrate,v.,滲透、滲入,"(into sth) (of liquids, gases, etc) pass slowly by filtering; penetrate",The undercover agent attempted to infiltrate the criminal organization to gather intelligence. 臥底探員試圖滲透進入犯罪組織 以收集情報。,,,,3,3,Mason 2000 PDF page 32 / 字根 filtr 過濾 / 提示 filter 濾器、過濾
affinity,n.,喜好；親近；本性；傾向,(between A and B) structural resemblance or similarity of character; relationship,The Japanese public wants to feel affinity with the members of the imperial family.,,,affliliated 附屬的,1,1,Mason 2000 PDF page 32 / 字根 fin 範圍 / 提示 infinite 無限的、無窮的
confine,v.,限制、使局限,sb/sth keep (a person or an animal) in a restricted space,Please confine your use of the phone to business calls. 限縮電話使用於公務用途,,,,3,3,Mason 2000 PDF page 32 / 字根 fin 範圍 / 提示 infinite 無限的、無窮的
definite,adj.,清楚的、明確的,clear; not doubtful,,,,,1,1,Mason 2000 PDF page 32 / 字根 fin 範圍 / 提示 infinite 無限的、無窮的
infinite,adj.,無限的、無窮的,without limits; endless,,,,,2,2,Mason 2000 PDF page 32 / 字根 fin 範圍 / 提示 infinite 無限的、無窮的
finesse,n.,非凡的技巧、技術,skill in dealing with people or situations cleverly or tactfully,,,,,1,1,Mason 2000 PDF page 32 / 字根 fine 好、精緻 / 提示 fine 令人滿意的
fine-tune,,進行微調,,,,,,1,1,Mason 2000 PDF page 32 / 字根 fine 好、精緻 / 提示 fine 令人滿意的
affirm,v.,確認、肯定,sth state sth as the truth; assert sth,,,,,1,1,Mason 2000 PDF page 32 / 字根 firm 堅固、堅定 / 提示 confirm 證實、證明
confiscate,v.,沒收、充公,"take possession of by authority, without payment or compensation",The traitor's property was confiscated. 那個叛國者的財產被沒收了,,,,1,1,Mason 2000 PDF page 32 / 字根 fisc 錢財 / 提示 fiscal 財政的、國庫的
fiscal,adj.,財政的、國庫的,"of or related to government money or public money, usu taxes",,,,,1,1,Mason 2000 PDF page 32 / 字根 fisc 錢財 / 提示 fiscal 財政的、國庫的
fixate,,注視、使固定、使不便,stare at,,,,,1,1,Mason 2000 PDF page 32 / 字根 fix 固定 / 提示 fixate 注視、使固定
flamboyant,adj.,豔麗的、炫耀的,"showy, very confident and extravagant",flamboyant blossoms,ornate,,,3,3,Mason 2000 PDF page 32 / 字根 flam 火焰、燃燒 / 提示 flame 火焰
inflammatory,,令人激動的、煽動的,,inflammatory words || inflammatory rhetoric,,,,1,1,Mason 2000 PDF page 32 / 字根 flam 火焰、燃燒 / 提示 flame 火焰
conflate,v.,合併,"combine into one; to combine (things, such as two readings of a text) into a composite whole","The speaker tended to conflate two separate issues, causing misunderstanding. 講者傾向將兩個不同的問題混為一談，導致誤 解。 || He conflated Islam (the religion) with ""Islamism"" (an ideology that has sometimes led to violence).",,,con(共同) + flat(吹氣) + e → 吹到一起 → 合併,3,3,Mason 2000 PDF page 33 / 字根 flat 吹氣、充氣 / 提示 inflate 使充氣、使膨脹
deflated,,洩氣的、氣餒的﹐泄氣的﹐灰心的,[ deflate: ] to collapse or cause to collapse through the release of gas,,,,,1,1,Mason 2000 PDF page 33 / 字根 flat 吹氣、充氣 / 提示 inflate 使充氣、使膨脹
inflate,v.,使充氣、使膨脹,"to expand or increase abnormally or imprudently; sth (with sth) fill (a tyre, balloon, etc) with air or gas",The company's profits were inflated by accounting fraud. 公司的利潤因會計欺詐而被誇大。,,,,2,2,Mason 2000 PDF page 33 / 字根 flat 吹氣、充氣 / 提示 inflate 使充氣、使膨脹
deflect,v.,使偏斜、使轉向、避開,to turn (something) aside especially from a straight course or fixed direction,The prime minister deflected mounting criticism today by announcing tax cuts. 藉由宣佈減稅來避開了與日俱增的批評,,,,2,2,"Mason 2000 PDF page 33 / 字根 flect, flex 彎曲 / 提示 flexible 彈性的、易彎曲的"
reflective,adj.,反射的；深思熟慮的,thoughtful,,,,,1,1,"Mason 2000 PDF page 33 / 字根 flect, flex 彎曲 / 提示 flexible 彈性的、易彎曲的"
afflict,,使痛苦、折磨,,a region afflicted by hunger and poverty 一個備受飢餓和貧窮所苦的地區,,,,1,1,Mason 2000 PDF page 33 / 字根 flict 打擊 / 提示 conflict 衝突
affliction,n.,折磨；持續不斷的痛苦；災害,pain; suffering; distress,"She said a no-deal (英國脫歐未與歐盟達成協議) is an “affliction” on the UK. “I think the UK looks at the reality of day-to- day trading and they know a no-deal would be hugely damaging to their economy and also to the EU economy,” she added.",,,,1,1,Mason 2000 PDF page 33 / 字根 flict 打擊 / 提示 conflict 衝突
inflict,v.,給予（打擊）、使遭受（損傷等）,"sth cause (a blow, penalty, etc) to be suffered (by sb)",Red imported fire ants are characterized by an aggressive defensive behavior and can inflict a painful sting when disturbed. 使招致 疼痛的刺蜇,,,,1,1,Mason 2000 PDF page 33 / 字根 flict 打擊 / 提示 conflict 衝突
profligate,adj.,非常浪費的,recklessly extravagant or wasteful,"The trade deficit (赤字) symbolizes a profligate America, consuming more than it produces and spending more than it has. —Philip Revzin, Wall Street Journal",prodigal;wildly extravagant,,,4,4,Mason 2000 PDF page 33 / 字根 flict 打擊 / 提示 conflict 衝突
florid,adj.,鮮紅色的、氣色好的、華麗的,elaborate and ornate; excessively decorated or colourful,,,,,1,1,"Mason 2000 PDF page 33 / 字根 flor, flour 花 / 提示 flourish 昌盛、興旺"
affluent,adj.,富裕的、豐富的,rich; prosperous,affluent families,,,,1,1,Mason 2000 PDF page 33 / 字根 flu 流 / 提示 fluid 流體的、易變的
fluid,adj.,流體的、流動的、易變的,"able to flow freely, as gases and liquids do; not solid or rigid",,,,,1,1,Mason 2000 PDF page 33 / 字根 flu 流 / 提示 fluid 流體的、易變的
influx,n.,注入、湧入,"arrival of people or things, esp suddenly and in large numbers or quantities",,,,,1,1,Mason 2000 PDF page 33 / 字根 flu 流 / 提示 fluid 流體的、易變的
mellifluous,adj.,聲音甜美的; 悅耳的﹐動聽的,sweet-sounding; (almost) musical,,,,melli(蜂蜜) + flu(流) + ous → 流蜜的 → 柔美流暢的,1,1,Mason 2000 PDF page 33 / 字根 flu 流 / 提示 fluid 流體的、易變的
superfluous,adj.,多餘的、累贅的,more than is needed or wanted,"He had already been told, so our comments were superfluous. 他已被告知，所以我們的評論是多餘的",,,super(超過) + flu(流) + ous → 多得流出來 → 多餘的,5,5,Mason 2000 PDF page 33 / 字根 flu 流 / 提示 fluid 流體的、易變的
defoliate,,使落葉,,,,,,5,2,Mason 2000 PDF page 33 / 字根 foli 樹葉 / 提示 foliage 葉子
foliage,n.,葉子,leaves of a tree or plant; leaves with their stems and branches,,,,,5,2,Mason 2000 PDF page 33 / 字根 foli 樹葉 / 提示 foliage 葉子
